id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,total_host_listings,availability_365,reviews_in_last_yr
66741,327673,Brooklyn,Park Slope,40.67548,-73.98315,Entire home/apt,174,2,281,2,252,28
31555,135619,Manhattan,West Village,40.73405,-74.00281,Entire home/apt,120,30,32,1,0,0
136493,663384,Brooklyn,Park Slope,40.67494,-73.97792,Entire home/apt,325,5,35,1,0,7
31902,137292,Brooklyn,East Flatbush,40.6327,-73.93184,Private room,80,30,4,1,0,0
66974,329436,Brooklyn,Gowanus,40.68088,-73.99102,Entire home/apt,210,2,194,2,242,58
139624,680818,Brooklyn,Crown Heights,40.67478,-73.95165,Entire home/apt,70,90,80,1,0,1
67288,101597,Manhattan,East Harlem,40.79544,-73.94836,Entire home/apt,130,28,42,1,20,7
31994,137814,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,97,2,513,2,296,28
32037,116599,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,139,30,92,2,345,0
33009,143027,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,195,4,284,1,272,17
140133,622866,Brooklyn,Williamsburg,40.71347,-73.96035,Entire home/apt,153,30,178,1,241,5
67299,330347,Brooklyn,Williamsburg,40.71516,-73.96448,Entire home/apt,155,30,74,1,119,5
140973,686147,Manhattan,East Village,40.72334,-73.97719,Entire home/apt,215,30,82,1,264,4
67397,332189,Manhattan,Harlem,40.80332,-73.95741,Private room,120,30,105,1,0,0
33156,128669,Manhattan,Upper West Side,40.78763,-73.96862,Entire home/apt,139,120,20,1,163,0
141154,686768,Brooklyn,Boerum Hill,40.6857,-73.98131,Entire home/apt,100,30,263,1,187,0
36647,157798,Manhattan,East Harlem,40.79128,-73.94125,Private room,76,7,59,1,276,25
141335,687361,Brooklyn,Park Slope,40.67487,-73.97637,Entire home/apt,900,1,39,2,353,2
142069,277747,Manhattan,East Village,40.72506,-73.97906,Entire home/apt,100,30,22,1,0,0
36703,158284,Manhattan,West Village,40.73271,-74.00367,Entire home/apt,200,14,141,1,230,5
36934,159370,Brooklyn,Williamsburg,40.71371,-73.96203,Entire home/apt,150,6,27,1,3,0
144087,616825,Manhattan,Harlem,40.80687,-73.95333,Entire home/apt,599,6,29,2,108,7
38663,165789,Brooklyn,Boerum Hill,40.68442,-73.98068,Entire home/apt,900,3,39,1,222,12
39282,168525,Brooklyn,Williamsburg,40.71065139770508,-73.95087432861328,Private room,150,4,245,2,5,13
144148,299755,Manhattan,East Village,40.72297,-73.9851,Private room,67,30,32,1,0,0
39572,169927,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,139,30,44,2,6,0
68253,67730,Queens,Astoria,40.76336,-73.92099,Private room,55,30,0,1,0,0
148201,715807,Manhattan,West Village,40.7304,-74.00228,Entire home/apt,175,30,18,1,0,0
68735,342054,Manhattan,Upper West Side,40.78846,-73.97459,Entire home/apt,210,15,34,1,323,1
39593,110506,Queens,Sunnyside,40.74523,-73.92318,Private room,78,30,29,1,183,0
39704,170510,Brooklyn,Bedford-Stuyvesant,40.68216,-73.94594,Entire home/apt,135,30,337,2,0,0
148259,716064,Brooklyn,Williamsburg,40.71345,-73.94289,Entire home/apt,330,3,90,1,327,8
148825,718349,Manhattan,Upper West Side,40.79999,-73.96338,Entire home/apt,173,3,269,2,205,36
